"estacao_id","nome,","latitude","longitude"
2352062,"Nova Esperança","-23.170000","-52.170000"
2350021,"Nova Fátima","-23.350000","-50.620000"
2552010,"Nova Laranjeiras","-25.300000","-52.530000"
2353029,"Nova Olímpia","-23.480000","-53.080000"
2453048,"Nova Santa Rosa","-24.380000","-53.920000"
2451044,"Nova Tebas","-24.420000","-51.930000"
2351025,"Novo Itacolomi","-23.750000","-51.500000"
2450008,"Ortigueira","-24.200000","-50.920000"
2352038,"Ourizona","-23.400000","-52.180000"
2453026,"Ouro Verde do Oeste","-24.770000","-53.900000"
2652010,"Palmas","-26.480000","-52.000000"
2550015,"Palmeira","-25.320000","-50.000000"
2452016,"Palmital","-24.880000","-52.200000"
2453003,"Palotina","-24.300000","-53.920000"
2252010,"Paranacity","-22.820000","-52.100000"
2548010,"Paranaguá","-25.520000","-48.520000"
2252017,"Paranavaí","-22.650000","-52.520000"
2652009,"Pato Branco","-26.050000","-52.800000"
2650010,"Paula Freitas","-26.220000","-50.800000"
2650012,"Paulo Frontin","-26.080000","-50.770000"
2352030,"Peabiru","-23.980000","-52.180000"
2353016,"Pérola","-23.780000","-53.670000"
2553005,"Pérola do Oeste","-25.830000","-53.750000"
2649018,"Piên","-26.150000","-49.370000"
2549041,"Pinhais","-25.420000","-49.130000"
2350043,"Pinhalão","-23.950000","-50.020000"
2551024,"Pinhão","-25.650000","-51.670000"
2449011,"Piraí do Sul","-24.520000","-49.920000"
2548041,"Piraquara","-25.480000","-48.980000"
2451013,"Pitanga","-24.750000","-51.770000"
2352060,"Planaltina do Paraná","-23.070000","-52.950000"
2553039,"Planalto","-25.670000","-53.680000"
2550003,"Ponta Grossa","-25.130000","-50.150000"
2549001,"Porto Amazonas","-25.550000","-49.880000"
2552037,"Porto Barreiro","-25.520000","-52.400000"
2253002,"Porto Rico","-22.770000","-53.270000"
2651004,"Porto Vitória","-26.170000","-51.220000"
2553036,"Pranchita","-25.950000","-53.830000"
2251039,"Primeiro de Maio","-22.850000","-51.020000"
2550000,"Prudentópolis","-25.200000","-50.930000"
2552046,"Quedas do Iguaçu","-25.380000","-52.950000"
2353010,"Querência do Norte","-23.070000","-53.470000"
2352002,"Quinta do Sol","-23.820000","-52.180000"
2549003,"Quitandinha","-25.950000","-49.380000"
2554023,"Ramilândia","-25.030000","-54.050000"
2550038,"Rebouças","-25.620000","-50.700000"
2450052,"Reserva","-24.420000","-50.970000"
2349036,"Ribeirão Claro","-23.200000","-49.750000"
2350052,"Ribeirão do Pinhal","-23.550000","-50.400000"
2351026,"Rio Bom","-23.750000","-51.400000"
2552036,"Rio Bonito do Iguaçu","-25.480000","-52.520000"
2451047,"Rio Branco do Ivaí","-24.320000","-51.300000"
2449020,"Rio Branco do Sul","-24.950000","-49.300000"
2649021,"Rio Negro","-26.100000","-49.800000"
2351053,"Rolândia","-23.200000","-51.450000"
2452015,"Roncador","-24.600000","-52.270000"
2352000,"Rondon","-23.320000","-52.670000"
2653016,"Salgado Filho","-26.050000","-53.350000"
2553007,"Salto do Lontra","-25.770000","-53.300000"
2350029,"Santa Amélia","-23.250000","-50.420000"
2454012,"Santa Helena","-24.770000","-54.230000"
2353001,"Santa Isabel do Ivaí","-23.000000","-53.180000"
2553028,"Santa Lúcia","-25.400000","-53.570000"
2451010,"Santa Maria do Oeste","-24.930000","-51.880000"
2353041,"Santa Mônica","-23.170000","-53.070000"
2553033,"Santa Tereza do Oeste","-25.150000","-53.620000"
2349061,"Santana do Itararé","-23.750000","-49.620000"
2349059,"Santo Antônio da Platina","-23.400000","-49.970000"
2252024,"Santo Antônio do Caiuá","-22.720000","-52.350000"
2350006,"Santo Antônio do Paraíso","-23.500000","-50.650000"
2653009,"Santo Antônio do Sudoeste","-26.070000","-53.720000"
2352036,"São Carlos do Ivaí","-23.350000","-52.520000"
2350037,"São Jerônimo da Serra","-23.770000","-50.800000"
2552029,"São João","-25.850000","-52.730000"
2550037,"São João do Triunfo","-25.620000","-50.200000"
2552001,"São Jorge do Ivaí","-25.770000","-52.920000"
2352053,"São Jorge do Oeste","-23.520000","-52.370000"
2353019,"São Jorge do Patrocínio","-23.680000","-53.900000"
2349064,"São José da Boa Vista","-23.900000","-49.650000"
2548052,"São José dos Pinhais","-25.800000","-48.920000"
2650006,"São Mateus do Sul","-26.020000","-50.580000"
2554006,"São Miguel do Iguaçu","-25.330000","-54.230000"
2351023,"São Pedro do Ivaí","-23.850000","-51.850000"
2253008,"São Pedro do Paraná","-22.780000","-53.150000"
2350061,"Sapopema","-23.900000","-50.570000"
2351044,"Sarandi","-23.480000","-51.900000"
2449044,"Sengés","-24.100000","-49.470000"
2553014,"Serranópolis do Iguaçu","-25.570000","-53.970000"
2250028,"Sertaneja","-22.850000","-50.870000"
2351032,"Sertanópolis","-23.050000","-51.020000"
2352042,"Tapejara","-23.670000","-52.970000"
2353034,"Tapira","-23.320000","-53.070000"
2450011,"Telêmaco Borba","-24.330000","-50.620000"
2352035,"Terra Boa","-23.670000","-52.370000"
2454006,"Terra Roxa","-24.170000","-54.100000"
2450002,"Tibagi","-24.500000","-50.400000"
2549063,"Tijucas do Sul","-25.780000","-49.150000"
2453017,"Toledo","-24.720000","-53.850000"
2553030,"Três Barras do Paraná","-25.420000","-53.180000"
2449024,"Tunas do Paraná","-24.970000","-49.070000"
2352026,"Tuneiras do Oeste","-23.900000","-52.950000"
2452009,"Ubiratã","-24.530000","-52.980000"
2353008,"Umuarama","-23.730000","-53.280000"
2651000,"União da Vitória","-26.220000","-51.070000"
2350023,"Uraí","-23.200000","-50.780000"
2553022,"Vera Cruz do Oeste","-25.050000","-53.870000"
2552040,"Virmond","-25.370000","-52.200000"
2652012,"Vitorino","-26.270000","-52.800000"
2353005,"Xambrê","-23.730000","-53.480000"
