"id","id_estacao","cidade","decendio","mes_decendio","risco_estiagem"
417,2351048,"Arapongas-Arapongas",3,7,"47.00"
418,2351048,"Arapongas-Arapongas",1,8,"52.00"
419,2351048,"Arapongas-Arapongas",2,8,"60.00"
420,2351048,"Arapongas-Arapongas",3,8,"52.00"
421,2351048,"Arapongas-Arapongas",1,9,"32.00"
422,2351048,"Arapongas-Arapongas",2,9,"19.00"
423,2351048,"Arapongas-Arapongas",3,9,"19.00"
424,2351048,"Arapongas-Arapongas",1,10,"10.00"
425,2351048,"Arapongas-Arapongas",2,10,"10.00"
426,2351048,"Arapongas-Arapongas",3,10,"13.00"
427,2351048,"Arapongas-Arapongas",1,11,"8.00"
428,2351048,"Arapongas-Arapongas",2,11,"8.00"
429,2351048,"Arapongas-Arapongas",3,11,"13.00"
430,2351048,"Arapongas-Arapongas",1,12,"14.00"
431,2351048,"Arapongas-Arapongas",2,12,"4.00"
432,2351048,"Arapongas-Arapongas",3,12,"4.00"
433,2450048,"Arapoti-Caratuva",1,1,"6.00"
434,2450048,"Arapoti-Caratuva",2,1,"15.00"
435,2450048,"Arapoti-Caratuva",3,1,"2.00"
436,2450048,"Arapoti-Caratuva",1,2,"10.00"
437,2450048,"Arapoti-Caratuva",2,2,"10.00"
438,2450048,"Arapoti-Caratuva",3,2,"13.00"
439,2450048,"Arapoti-Caratuva",1,3,"21.00"
440,2450048,"Arapoti-Caratuva",2,3,"13.00"
441,2450048,"Arapoti-Caratuva",3,3,"30.00"
442,2450048,"Arapoti-Caratuva",1,4,"23.00"
443,2450048,"Arapoti-Caratuva",2,4,"30.00"
444,2450048,"Arapoti-Caratuva",3,4,"34.00"
445,2450048,"Arapoti-Caratuva",1,5,"36.00"
446,2450048,"Arapoti-Caratuva",2,5,"28.00"
447,2450048,"Arapoti-Caratuva",3,5,"19.00"
448,2450048,"Arapoti-Caratuva",1,6,"28.00"
449,2450048,"Arapoti-Caratuva",2,6,"32.00"
450,2450048,"Arapoti-Caratuva",3,6,"41.00"
451,2450048,"Arapoti-Caratuva",1,7,"43.00"
